O1_NUMORD,O1_NUMMOD,O1_FECORD,O1_DESCRP,O1_NUMPIE,O1_CANORD,O1_NOMTEL,O1_NUMCLI,O1_FECINI,O1_FECFIN,O1_INDINI,O1_INDFIN,O1_CLAAUT,O1_CLAGRA,O1_CLACOR,O1_CANCOR,O1_CLAMAQ,O1_PERMAQ,O1_TALLER,O1_FECMAQ,O1_CLAARM,O1_CANARM,O1_CANINC,O1_CLATER,O1_CANTER,O1_CLAEMB,O1_CLADET,O1_CONDET,O1_CLACAN,O1_CONCAN,O1_CLACOM,O1_LINRAP,O1_COSTOO
605,2991,04/08/2010,VESTIDO MANGA CORTA,1,1090,ENCAJE LAce #1372,296,15/08/2010,25/08/2010,20100815,20100825,S,S,S,1090,S,ALEJANDRO,,25/08/2010,S,1090.0,,S,1090.0,N,N,FALTA DE TEL,N,,N,N,121.93
606,7007,06/08/2010,BLUSA MANGA 3/4,1,2650,POPELINA CUADRO,296,21/08/2010,31/08/2010,20100821,20100831,S,S,S,2196,S,CAPILLAS,,07/09/2010,S,2196.0,,S,2191.0,N,N,FALTA DE TELA,N,,N,N,97.72
607,7007,06/08/2010,BLUSA MANGA 3/4,1,2520,POPELINA CUADRO,296,27/08/2010,07/09/2010,20100827,20100907,S,S,S,2618,S,TALLER / CAPILLA,,13/10/2010,S,2618.0,,S,2617.0,N,N,,N,,N,N,109.76
608,2824,06/08/2010,VESTIDO MANGA CORTA,1,1200,FLY FLEX,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,1202,S,TAURINO/JOSE LUIS,,13/08/2010,S,1202.0,,S,1217.0,N,N,,N,,N,N,154.76
609,2824,06/08/2010,VESTIDO MANGA CORTA,1,1390,FLY FLEX,296,21/08/2010,31/08/2010,20100821,20100831,S,S,S,252,S,VERO AVIñA,,18/08/2010,S,252.0,,S,252.0,N,N,,N,,N,N,157.01
610,2865,06/08/2010,VESTIDO MANGA 3/4,1,1600,MICROFIBRA INDIGO,296,19/08/2010,29/08/2010,20100819,20100829,S,S,S,1610,S,VARIOS,,17/08/2010,S,1609.0,,S,1609.0,N,N,,N,,N,N,158.44
611,15978,06/08/2010,LEGGINS,1,690,POLY SPAN KNITTED,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,690,S,TALLER 1,,16/08/2010,S,686.0,4.0,S,690.0,N,N,,N,,N,N,101.60
612,6993,06/08/2010,BLUSA MANGA 3/4,1,1815,POPELINA HILO,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,1817,S,VARIOS,,17/08/2010,S,1816.0,,S,1816.0,N,N,,N,,N,N,102.72
613,6884,06/08/2010,BLUSA MANGA DE MARIPOSA,1,165,SATIN DULL,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,166,S,RAMON P,,16/08/2010,S,165.0,,S,165.0,N,N,,N,,N,N,119.12
614,7005,06/08/2010,BLUSON MANGA LARGA,1,1870,BOAL DOBLE #31837,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,1873,S,VARIOS,,25/08/2010,S,1873.0,,S,1873.0,N,N,,N,,N,N,138.45
615,2842,06/08/2010,VESTIDO SIN MANGAS,1,2255,ELASTANO RAYA #124,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,2039,S,TALLER 2,,24/08/2010,S,2039.0,,S,2039.0,N,N,,N,,N,N,73.15
616,15970,06/08/2010,LEGGINS,1,1990,ENCAJE LACE #1372,296,14/08/2010,24/08/2010,20100814,20100824,S,S,S,1992,S,ALEJANDRO /TALLER,,23/08/2010,S,1992.0,,S,1992.0,N,N,FALTA DE TELA,N,,N,N,48.87
617,2816,06/08/2010,VESTIDO MANGA  CORTA,1,480,POPELINA ST. LISA,114,20/08/2010,30/08/2010,20100820,20100830,S,S,S,480,S,EDUARDO,,27/08/2010,S,480.0,,S,480.0,N,N,,N,,N,N,147.85
618,2867,06/08/2010,VESTIDO MANGA  CORTA,1,420,MEZ. IMPERIO,114,20/08/2010,30/08/2010,20100820,20100830,S,S,S,420,S,ALBERTO LARA,,16/08/2010,S,420.0,,S,419.0,N,N,,N,,N,N,126.62
619,6940,06/08/2010,BLUSON SIN MANGAS,1,120,ELASTANO LISO,114,20/08/2010,30/08/2010,20100820,20100830,S,S,S,120,S,ALEJANDRO F,,19/08/2010,S,120.0,,S,120.0,N,N,,N,,N,N,57.87
620,7015,06/08/2010,BLUSA MANGA,1,180,POPELINA HILO,114,20/08/2010,30/08/2010,20100820,20100830,S,S,S,180,S,MARIO PADILLA,,18/08/2010,S,180.0,,S,180.0,N,N,,N,,N,N,81.54
621,7029,06/08/2010,BLUSA MANGA LARGA,1,180,BOAL CUADRO PLAID #119,114,20/08/2010,30/08/2010,20100820,20100830,S,S,S,180,S,ANA ROSA,,17/08/2010,S,180.0,,S,176.0,N,N,,N,,N,N,131.28
622,15697,06/08/2010,LEGGINS,1,660,POLY SPAND #905289,114,20/08/2010,30/08/2010,20100820,20100830,S,S,S,663,N,,,18/08/2010,S,663.0,,S,662.0,N,N,,N,,N,N,50.61
623,7007,12/08/2010,BLUSA MANGA 3/4,1,2750,POPELINA CUADRO PLAID 116,296,17/09/2010,27/09/2010,20100917,20100927,S,S,S,2750,S,CAPILLAS,,03/09/2010,S,2750.0,,S,2751.0,N,N,,N,,N,N,98.08
624,2824,12/08/2010,VESTIDO MANGA CORTA,1,3245,POPELINA ST.LISA $23.00,296,30/08/2010,09/09/2010,20100830,20100909,S,S,S,3248,S,VARIOS,,10/09/2010,S,3237.0,,S,3237.0,N,N,,N,,N,N,136.94
625,2865,12/08/2010,VESTIDO MANGA 3/4,1,1625,MICROFIBRA INDIGO $34.50,296,25/08/2010,05/09/2010,20100825,20100905,S,S,S,1625,S,VARIOS,,20/08/2010,S,1621.0,1.0,S,1621.0,N,N,,N,,N,N,158.71
626,15978,12/08/2010,LEGGINS,1,1155,POLY SPAN KITTED #D905289,296,24/08/2010,04/09/2010,20100824,20100904,S,S,S,1155,S,TALLER,,27/08/2010,S,1155.0,,S,1119.0,N,N,,N,,N,N,100.84
627,6993,12/08/2010,BLUSA MANGA 3/4,1,1342,POPELINA HILO TEÑIDA,296,24/08/2010,04/09/2010,20100824,20100904,S,S,S,1318,S,VARIOS,,26/08/2010,S,1313.0,3.0,S,1299.0,N,N,,N,,N,N,101.74
628,6884,12/08/2010,BLUSA MANGA MARIPOSA,1,275,SATIN DULL SAT-1817$34.50,296,24/08/2010,04/09/2010,20100824,20100904,S,S,S,275,S,RAMON P,,24/08/2010,S,275.0,,S,275.0,N,N,,N,,N,N,118.43
629,7005,12/08/2010,BLUSON MANGA LARGA,1,1683,BOAL DOBLE PLAID #118,296,24/08/2010,04/09/2010,20100824,20100904,S,S,S,1166,S,VARIOS,,27/08/2010,S,1165.0,,S,1170.0,N,N,,N,,N,N,125.04
630,2842,12/08/2010,VESTIDO SIN MANGAS,1,1441,"ELASTANO  RAYA ,POLY RAY",296,24/08/2010,04/09/2010,20100824,20100904,S,S,S,1442,S,TALLER,,01/09/2010,S,1412.0,30.0,S,1403.0,N,N,,N,,N,N,66.17
631,15970,12/08/2010,LEGGINS,1,1188,ENCAJE LACE #1372,296,24/08/2010,04/09/2010,20100824,20100904,S,S,S,1204,S,TALLERS,,27/08/2010,S,1160.0,19.0,S,1179.0,N,N,,N,,N,N,51.16
632,2816,13/08/2010,VESTIDO MANGA CORTA,1,1980,POPELINA ST,114,23/08/2010,02/09/2010,20100823,20100902,S,S,S,1981,S,VARIOS,,13/09/2010,S,1981.0,,S,1981.0,N,N,,N,,N,N,144.24
633,2867,13/08/2010,VESTIDO MANGA CORTA,1,1122,MEZCLILLA IMPERIO,114,23/08/2010,02/09/2010,20100823,20100902,S,S,S,762,S,ALBERTO L,,23/08/2010,S,763.0,,S,763.0,N,N,,N,,N,N,127.62
634,7015,13/08/2010,BLUSA MANGA CORTA,1,812,POPELINA HILO,114,23/08/2010,02/09/2010,20100823,20100902,S,S,S,812,S,JAVIER E,,30/08/2010,S,808.0,,S,809.0,N,N,,N,,N,N,78.54
635,7029,13/08/2010,BLUSA MANGA LARGA,1,396,BOAL CUADRO PLAID,114,23/08/2010,02/09/2010,20100823,20100902,S,S,S,396,S,ANA ROSA,,23/08/2010,S,396.0,,S,394.0,N,N,,N,,N,N,133.40
636,15697,13/08/2010,LEGGINS,1,1100,POLY SPAN,114,23/08/2010,02/09/2010,20100823,20100902,S,S,S,1104,S,TALLER,,01/09/2010,S,1104.0,,S,1104.0,N,N,,N,,N,N,49.89
637,2816,13/08/2010,VESTIDO MANGA CORTA,1,1320,POPELINA ST LISA,114,31/08/2010,10/09/2010,20100831,20100910,S,S,S,1320,S,VARIOS,,20/09/2010,S,1317.0,,S,1317.0,N,N,,N,,N,N,142.01
638,15697,13/08/2010,LEGGINS,1,540,POLY SPAND,114,31/08/2010,10/09/2010,20100831,20100910,S,S,S,540,S,TALLER,,13/09/2010,S,540.0,,S,540.0,N,N,,N,,N,N,50.61
639,2991,13/08/2010,VESTIDO MANGA LARGA,1,1687,ENCAJE LACE FORRO BOMBAY,296,23/08/2010,02/09/2010,20100823,20100902,S,S,S,1548,S,VARIOS,,03/09/2010,S,1545.0,,S,1527.0,N,N,,N,,N,N,113.45
648,2719,18/08/2010,BLUSON STRAPLE BOTONES,1,2130,BOAL DOBLE CUADRO PLAID,101,23/10/2010,02/11/2010,20101023,20101102,S,S,S,2196,N,,,,S,2196.0,,S,2196.0,N,N,,N,,N,N,98.29
642,6182,18/08/2010,BLUSA MANGA CORTA BOTONES,1,510,POPELINA CUADRO MINX,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,510,N,,,,S,510.0,,S,510.0,N,N,,N,,N,N,92.95
649,6178,18/08/2010,BLUSON MANGA DOBLADA,1,1454,POPELINA CUADRO PLAID,101,23/10/2010,02/11/2010,20101023,20101102,S,S,S,1454,S,VARIOS,,21/09/2010,S,1447.0,,S,1447.0,N,N,,N,,N,N,111.41
644,2924,18/08/2010,VESTIDO MANGA CORTA,1,382,POPELINA ST LISA TEXITELA,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,356,S,ALBERTO LARA,,21/09/2010,S,356.0,,S,356.0,N,N,,N,,N,N,130.07
647,2740,18/08/2010,VESTIDO MANGA DE TIRANTE,1,2631,GAUZE CUADRO PLAID,101,23/10/2010,02/11/2010,20101023,20101102,S,S,S,2737,S,TALLER/ISRAEL,,14/10/2010,S,2719.0,6.0,S,2719.0,N,N,,N,,N,N,122.87
643,6053,18/08/2010,BLUSA MANGA CORTA CON FAJ,1,1571,POPELINA ST LISA,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,1572,S,CAPILLA,,20/09/2010,S,1572.0,,S,1572.0,N,N,,N,,N,N,99.07
645,6505,18/08/2010,VESTIDO DE TIRANTES,1,289,POPELINA RIGIDA,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,136,S,ROSARIO,,15/09/2010,S,135.0,1.0,S,135.0,N,N,,N,,N,N,107.79
646,5091,18/08/2010,BLUSON MANGA CORTA FAJO,1,2462,BOAL CUADRO PLAID,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,2228,S,ISRAEL,,24/09/2010,S,2228.0,,S,2228.0,N,N,,N,,N,N,116.31
641,2746,18/08/2010,BLUSON MANGA CORTA BOLSAS,1,1367,BOAL CUADRO PLAID 126,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,1367,S,VARIOS,,21/09/2010,S,1366.0,,S,1369.0,N,N,,N,,N,S,101.13
640,2688,18/08/2010,BODDY SHORT TIRANTES,1,148,MEZCLILLA ARK RING,101,07/09/2010,17/09/2010,20100907,20100917,S,S,S,148,S,GUSTAVO H,,14/09/2010,S,148.0,,S,147.0,N,N,,N,,N,N,109.86
650,2865,24/08/2010,VESTIDO MANGA 3/4,1,1650,MICROFIBRA INDIGO,296,02/09/2010,12/09/2010,20100902,20100912,S,S,S,1650,S,VARIOS,,27/08/2010,S,1646.0,,S,1646.0,N,N,,N,,N,N,160.24
651,2865,24/08/2010,VESTIDO MANGA 3/4,1,1815,MICROFIBRA INDIGO,296,09/09/2010,19/09/2010,20100909,20100919,S,S,S,1853,S,ISRAEL,,01/09/2010,S,1853.0,,S,1853.0,N,N,,N,,N,N,160.58
652,7003,24/08/2010,ABRIGO MANGA LARGA,1,175,WOOL #226 $,115,09/09/2010,19/09/2010,20100909,20100919,S,S,S,175,S,ALEJANDRO,,09/09/2010,S,175.0,,S,175.0,N,N,,N,,N,N,192.33
653,7398,24/08/2010,BLUSA MANGA 3/4,1,3779,ELASTANO RAYA KNT1384,101,08/11/2010,18/11/2010,20101108,20101118,S,S,S,3780,S,TALLER,,22/10/2010,S,3765.0,15.0,S,3765.0,N,N,,N,,N,N,61.99
654,7398,24/08/2010,BLUSA MANGA 3/4,1,2139,ELASTANO RAYA KNT1384,101,08/11/2010,18/11/2010,20101108,20101118,S,S,S,2155,S,TALLER,,26/10/2010,S,2143.0,12.0,S,2144.0,N,N,,N,,N,N,61.00
655,7398,24/08/2010,BLUSA MANGA 3/4,1,426,ELASTANO RAYA KNT1384,101,06/12/2010,16/12/2010,20101206,20101216,S,S,S,432,S,TALLER,,10/11/2010,S,428.0,,S,428.0,N,N,,N,,N,N,62.32
656,7398,24/08/2010,BLUSA MANGA 3/4,1,848,ELASTANO RAYA KNT1384,101,06/12/2010,16/12/2010,20101206,20101216,S,S,S,848,S,TALLER,,04/11/2010,S,834.0,14.0,S,834.0,N,N,,N,,N,N,65.65
657,7398,24/08/2010,BLUSA MANGA 3/4,1,1538,ELASTANO RAYA KNT1384,101,04/01/2011,14/01/2011,20110104,20110114,S,S,S,740,S,TALLER,,11/11/2010,S,740.0,,S,740.0,N,N,,N,,N,N,63.64
658,7398,24/08/2010,BLUSA MANGA 3/4,1,429,ELASTANO RAYA KNT1384,101,04/01/2011,14/01/2011,20110104,20110114,S,S,S,160,S,TALLER,,09/11/2010,S,160.0,,S,160.0,N,N,,N,,N,N,63.31
659,2816,27/08/2010,VESTIDO MANGA CORTA,1,1650,POPELINA ST LISA PRENCOGI,114,19/09/2010,29/09/2010,20100919,20100929,S,S,N,0,N,,,,N,0.0,,N,0.0,N,N,FALTA DE TELA,S,ENTRAGAS TARDE,N,N,
660,2867,27/08/2010,VESTIDO MANGA CORTA,1,550,MZCLILLA 6 OZ,114,19/09/2010,29/09/2010,20100919,20100929,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,X ENTREGAS TARDE,N,N,
661,7015,27/08/2010,BLUSA   MANGA CORTA,1,660,POPELINA HILO,114,19/09/2010,29/09/2010,20100919,20100929,S,S,S,660,S,JAVIER ESTRADA,,20/09/2010,S,657.0,1.0,S,657.0,N,N,,N,,N,N,79.21
662,15697,27/08/2010,LEGGINS,1,1320,POLY SPAN,114,19/09/2010,29/09/2010,20100919,20100929,S,S,S,1302,S,TALLER,,21/09/2010,S,1302.0,,S,1296.0,N,N,,N,,N,N,51.46
663,15978,31/08/2010,LEGGINS,1,220,POLY SPAND PUNTO DE ROMA,296,09/09/2010,19/09/2010,20100909,20100919,S,S,S,220,S,TALLER,,10/09/2010,S,220.0,,S,220.0,N,N,,N,,N,N,103.00
664,2865,31/08/2010,VESTIDO MANGA 3/4,1,1910,MEZCLILLA INDIGO,296,16/09/2010,26/09/2010,20100916,20100926,S,S,S,1911,S,VARIOS,,21/09/2010,S,1905.0,,S,1891.0,N,N,,N,,N,N,159.20
665,5913,03/09/2010,BLUSA MANGA CORTA,1,120,POPELINA CUADRO PLAID,104,02/09/2010,12/09/2010,20100902,20100912,S,S,S,120,S,RICARDO,,10/09/2010,S,120.0,,S,118.0,N,N,,N,,N,N,93.69
666,6405,03/09/2010,BLUSON MANGA 3/4,1,280,BOAL DOBLE CUADRO,104,23/09/2010,03/10/2010,20100923,20101003,S,S,S,295,S,EDUARDO M,,24/09/2010,S,295.0,,S,295.0,N,N,,N,,N,N,91.25
667,2924,10/09/2010,VESTIDO CORTO,1,538,POPELINA ST. LISA,101,22/10/2010,02/11/2010,20101022,20101102,S,S,S,538,S,GUSTAVO/ALBERTO,,28/09/2010,S,538.0,,S,538.0,N,N,,N,,N,N,137.44
668,6505,10/09/2010,VESTIDO CORTO,1,505,POPELINA RIGIDA,101,22/10/2010,02/11/2010,20101022,20101102,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FALTA DE TELA,N,N,
669,2740,10/09/2010,BLUSON MANGA CORTA,1,120,GAUZE CUADRO,101,20/11/2010,05/12/2010,20101120,20101205,S,S,S,120,S,AURORA,,13/10/2010,S,120.0,,S,120.0,N,N,FALTA DE TELA,N,,N,N,134.90
670,2719,10/09/2010,BLUSON C/TIRANTES,1,1534,BOAL DOBLE CUADRO,101,20/11/2010,05/12/2010,20101120,20101205,S,S,S,1526,S,CAPILLA,,28/09/2010,S,1526.0,,S,1526.0,N,N,,N,,N,N,89.29
671,6600,10/09/2010,BLUSON STRAPLE,1,391,BOAL DOBLE CUADRO,101,20/11/2010,05/12/2010,20101120,20101205,S,S,S,391,S,CAPILLAS,,24/09/2010,S,391.0,,S,391.0,N,N,,N,,N,N,86.73
672,6626,10/09/2010,BLUSON MANGA CORTA,1,921,POPELINA CUADRO,101,20/11/2010,05/12/2010,20101120,20101205,S,S,S,921,S,CARLOS M,,01/10/2010,S,921.0,,S,921.0,N,N,,N,,N,N,77.66
673,6178,10/09/2010,BLUSON MANGA 3/4,1,346,POPELINA CUADRO,101,20/11/2010,05/12/2010,20101120,20101205,S,S,S,346,S,FELIPE / CAPILLA,,20/10/2010,S,346.0,,S,346.0,N,N,,N,,N,N,110.81
674,5091,10/09/2010,BLUSON MANGA CORTA,1,499,BAOL CUADRO PLAID#102,101,22/10/2010,02/11/2010,20101022,20101102,S,S,S,499,S,VARIOS,,02/11/2010,S,497.0,2.0,S,496.0,N,N,,N,,N,N,106.09
675,2688,10/09/2010,BLUSON CON TIRANTES,1,250,MEZCLILLA RING 6.OZ,101,25/09/2010,05/10/2010,20100925,20101005,S,S,S,250,S,GUISTAVO M,,21/09/2010,S,250.0,,S,249.0,N,N,,N,,N,N,111.66
676,6638,10/09/2010,BLUSA MANGA CORTA,1,328,BOAL CUADRO PLAID #124,101,22/10/2010,02/11/2010,20101022,20101102,S,S,S,303,S,ROSARIO,,21/09/2010,S,303.0,,S,303.0,N,N,,N,,N,N,88.04
677,6516,10/09/2010,BLUSA MANGA CORTA,1,1876,BOAL DOBLE CUADRO,101,22/10/2010,02/11/2010,20101022,20101102,S,S,S,1886,S,ISRAEL,,29/09/2010,S,1881.0,,S,1881.0,N,N,,N,,N,N,101.55
678,6182,10/09/2010,BLUSA MANGA CORTA,1,937,POPELINA   CUADRO,101,22/10/2010,02/11/2010,20101022,20101102,S,S,S,653,S,JAVIER,,24/09/2010,S,652.0,1.0,S,652.0,N,N,,N,,N,N,93.63
679,6053,10/09/2010,BLUSA MANGA CORTA,1,273,POPELINA ST. LISA,101,22/10/2010,02/11/2010,20101022,20101102,S,S,S,273,S,CAPILLA,,24/09/2010,S,276.0,,S,273.0,N,N,,N,,N,N,100.59
680,7005,21/09/2010,BLUSA MANGA LARGA,1,276,BOAL DOBLE CUADRO,296,15/09/2010,25/09/2010,20100915,20100925,S,S,S,276,S,VARIOS,,21/09/2010,S,276.0,,S,276.0,N,N,,N,,N,N,129.72
681,6719,23/09/2010,BLUSON SIN MANGAS,1,403,ELASTANO KNT 1304,104,23/09/2010,03/10/2010,20100923,20101003,S,S,S,403,S,TALLER,,28/09/2010,S,402.0,1.0,S,402.0,N,N,,N,,N,N,88.50
682,7319,23/09/2010,CHAMARRA,1,372,CAPITONADO FLOR,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,384,S,ILEANA,,06/10/2010,S,384.0,,S,384.0,N,N,,N,,N,N,145.41
683,7320,23/09/2010,CHAMARRA,1,372,CAPITONADO ROMBO,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,376,S,LAURA S,,08/10/2010,S,376.0,,S,376.0,N,N,,N,,N,N,138.16
684,7321,23/09/2010,CHAMARRA,1,372,CAPITONADO ROMBO,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,376,S,MARISA A,,08/10/2010,S,373.0,2.0,S,372.0,N,N,,N,,N,N,146.33
685,7322,23/09/2010,CHAMARRA,1,372,CAPITONADO FLOR,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,376,S,RAMON P/RAQUEL,,12/10/2010,S,375.0,1.0,S,374.0,N,N,,N,,N,N,144.87
686,7324,23/09/2010,CHALECO,1,296,CAPITONADO ROMBO,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,300,S,VERONICA AVIÑA,,05/10/2010,S,300.0,,S,300.0,N,N,,N,,N,N,125.35
687,7325,23/09/2010,CHALECO,1,296,CAPITONADO ROMBO,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,300,S,ROSARIO C,,01/10/2010,S,300.0,,S,300.0,N,N,,N,,N,N,111.44
688,7326,23/09/2010,CHALECO,1,296,CAPITONADO FLOR,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,300,S,ANA ROSA  M,,06/10/2010,S,300.0,,S,298.0,N,N,,N,,N,N,98.15
689,7327,23/09/2010,CHALECO,1,296,CAPITONADO ROMBO,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,300,S,ALEJANDRO,,06/10/2010,S,300.0,,S,300.0,N,N,,N,,N,N,117.94
690,7328,23/09/2010,CHALECO,1,296,CAPITONADO FLOR,640,16/10/2010,26/10/2010,20101016,20101026,S,S,S,300,S,ARMINDA,,04/10/2010,S,300.0,,S,300.0,N,N,,N,,N,N,119.93
691,7458,27/09/2010,CHALECO,0,0,APLICACION OSCAR NAVARRO,103,12/10/2010,22/10/2010,20101012,20101022,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPOS,N,N,
692,7458,27/09/2010,CHALECO,0,0,APLICACION OSCAR NAVARRO,103,12/10/2010,22/10/2010,20101012,20101022,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,
694,7415,27/09/2010,BLUSON MANGA LARGA,1,498,POPELINA HILO,103,12/10/2010,22/10/2010,20101012,20101022,S,S,S,492,S,CAPILLA,,11/10/2010,S,492.0,,S,492.0,N,N,,N,,N,N,94.08
695,7415,27/09/2010,BLUSON MANGA LARGA,1,498,POPELINA HILO,103,12/10/2010,22/10/2010,20101012,20101022,S,S,S,525,S,CAPILLA,,11/10/2010,S,519.0,6.0,S,519.0,N,N,,N,,N,N,92.00
696,7114,27/09/2010,COZY,1,279,HACHI KNT 1305,103,12/10/2010,22/10/2010,20101012,20101022,S,S,S,279,S,TALLER,,12/10/2010,S,279.0,,S,277.0,N,N,,N,,N,N,65.42
697,7114,27/09/2010,COZY,1,279,HACHI KNT 1305,103,12/10/2010,22/10/2010,20101012,20101022,S,S,S,279,S,TALLER,,18/10/2010,S,278.0,1.0,S,277.0,N,N,,N,,N,N,65.73
693,2930,27/09/2010,VESTIDO C/TIRANTES,1,279,RAYON EST. #905193,103,12/10/2010,22/10/2010,20101012,20101022,S,S,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,CAMBIO  DE ESTAMPADO,N,N,
698,15960,27/09/2010,PANTALON,1,552,MALIBU,103,12/10/2010,22/10/2010,20101012,20101022,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FALTA DE TELA,N,N,
699,6814,27/09/2010,CHAMARRA,1,498,MEZ. LONG RING,103,12/10/2010,22/10/2010,20101012,20101022,S,S,S,498,S,GUSTAVO,,07/10/2010,S,498.0,,S,498.0,N,N,,N,,N,N,114.12
700,6814,27/09/2010,CHAMARRA,1,498,MEZ. LONG RING,103,12/10/2010,22/10/2010,20101012,20101022,S,S,S,498,S,ALBERTO LARA,,07/10/2010,S,498.0,,S,498.0,N,N,,N,,N,N,103.54
701,7005,29/09/2010,BLUSA MANGA LARGA,1,555,BOAL DOBLE PLAID#118,296,28/09/2010,08/10/2010,20100928,20101008,S,S,S,555,S,VARIOS,,01/10/2010,S,555.0,,S,554.0,N,N,,N,,N,N,128.94
702,15697,29/09/2010,LEGGINS,1,200,SPAN CHAR TEXITELAS,104,30/09/2010,10/10/2010,20100930,20101010,S,S,S,200,S,TALLER,,04/10/2010,S,200.0,,S,200.0,N,N,,N,,N,N,58.31
703,6719,29/09/2010,BLUSON SIN MANGAS,1,200,ELASTANO RAYON SPAN #275,104,30/09/2010,10/10/2010,20100930,20101010,S,S,S,200,S,TALLER,,04/10/2010,S,200.0,,S,200.0,N,N,,N,,N,N,87.95
704,6859,29/09/2010,BLUSA MANGA CORTA,1,250,ELASTANO SLUB #71520,104,30/09/2010,10/10/2010,20100930,20101010,S,S,S,250,S,TALLER,,06/10/2010,S,244.0,7.0,S,244.0,N,N,,N,,N,N,76.35
705,7263,01/10/2010,BLUSA MANGA CORTA,1,99,CHIFON ST. 1015#6,640,30/10/2010,10/11/2010,20101030,20101110,S,S,S,99,S,CAPILLA,,25/10/2010,S,99.0,,S,99.0,N,N,,N,,N,N,67.64
706,7365,01/10/2010,BLUSA MANGA CORTA,1,360,CHIFON FLORS D#36108,640,30/10/2010,10/11/2010,20101030,20101110,S,S,S,360,S,TALLER,,18/10/2010,S,358.0,1.0,S,358.0,N,N,,N,,N,N,85.60
707,7364,01/10/2010,BLUSON MANGA MARIPOSA,1,128,SATIN EST. D#90608,640,30/10/2010,10/11/2010,20101030,20101110,S,S,S,100,S,ROSARIO,,29/10/2010,S,100.0,,S,100.0,N,N,,N,,N,N,114.52
708,7253,01/10/2010,BLUSON MANGA CORTA,1,362,TRIPLE MESH FS-1881,640,30/10/2010,10/11/2010,20101030,20101110,S,S,S,236,S,CAPILLA,,15/10/2010,S,234.0,2.0,S,233.0,N,N,,N,,N,N,99.21
710,7002,01/10/2010,BLUSA  MANGA CORTA,1,121,ELSTANO RAYA,640,30/10/2010,10/11/2010,20101030,20101110,S,S,S,121,S,AURORA,,20/10/2010,S,121.0,,S,121.0,N,N,,N,,N,N,60.27
711,6990,01/10/2010,BLUSON SIN MANGAS,1,495,ELASTANO RAYA,640,30/10/2010,10/11/2010,20101030,20101110,S,S,S,495,S,VARIOS,,27/10/2010,S,492.0,3.0,S,492.0,N,N,,N,,N,N,57.33
712,6626,01/10/2010,BLUSA MANGA CORTA,1,243,POPELINA CUADRO,101,18/12/2010,28/12/2010,20101218,20101228,S,S,S,243,S,TALLER,,12/10/2010,S,241.0,,S,241.0,N,N,,N,,N,N,78.26
713,6178,01/10/2010,BLUSON MANGA 3/4,1,894,POPELINA CUADRO,101,18/12/2010,28/12/2010,20101218,20101228,S,S,S,894,S,CAPILLA,,21/10/2010,S,880.0,,S,880.0,N,N,,N,,N,N,63.84
714,6638,01/10/2010,BLUSA MANGA CORTA,1,461,BOAL CUADRO PLAID,101,20/11/2010,30/11/2010,20101120,20101130,S,S,S,461,S,CAPILLA,,18/10/2010,S,461.0,,S,461.0,N,N,,N,,N,N,85.72
715,6516,01/10/2010,BLUSA MANGA CORTA,1,1430,BOAL DOBLE  PLAID,101,20/11/2010,30/11/2010,20101120,20101130,S,S,S,1196,S,ISRAEL V,,08/10/2010,S,1196.0,,S,1196.0,N,N,,N,,N,N,103.77
716,6182,01/10/2010,BLUSA MANGA CORTA,1,578,POPELINA CUADRO,101,20/11/2010,30/11/2010,20101120,20101130,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FALTA DE TELA,N,N,
717,6053,01/10/2010,BLUSA MANGA CORTA,1,604,POPELINA ST LISA,101,20/11/2010,30/11/2010,20101120,20101130,S,S,S,604,S,ALEJANDRO F,,08/10/2010,S,604.0,,S,604.0,N,N,,N,,N,N,99.27
